,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,2013-05-12 01:16:11,1368314171.0,kim,24.97,-56.1082791352,1626.670044,35.693789073,-91.8020682081,88.28,54.88,10.72,2.12,29.62,33.59,2.00,4.41,2.33,14900000000.0,14900000000.0,18.09,3.15,15.75,26.37,15.75,675470000.0,26.37,124510000.0,0.46,26.30,7.20,166890000.0,0.41,4450000000.0,3.34,11.72,472070000.0,1.33,2.88,100.80,17520000.0,6.20,5.10,23980000.0,underperform
1,2012-08-21 21:03:07,1345575787.0,kim,20.38,-64.1764809281,1413.170044,17.8840162343,-82.0604971624,79.09,52.66,8.78,1.64,23.90,33.27,1.98,4.33,2.31,12040000000.0,12040000000.0,15.32,1.79,12.84,21.40,12.84,617670000.0,21.40,144120000.0,0.39,78.50,6.90,383730000.0,0.94,4190000000.0000005,3.69,12.32,508210000.0,1.40,2.84,99.30,17350000.0,4.80,5.00,17580000.0,underperform
2,2011-07-02 19:51:53,1309629113.0,tdc,60.91,4.10186292941,1307.410034,-16.3648311044,20.4666940338,23.55,34.61,5.05,7.97,14.85,21.01,13.44,27.29,12.01,9800000000.0,9800000000.0,23.98,2.08,4.87,21.69,4.87,1090000000.0,21.69,299000000.0,1.76,3.00,17.90,778000000.0,4.61,300000000.0,2.07,7.55,9800000000.0,0.82,1.80,83.30,3000000.0,1.70,1.80,3160000.0,outperform
3,2011-09-03 08:31:58,1315031518.0,tdc,49.03,-16.2023585712,1218.890015,-22.0274668095,5.82510823827,21.61,25.54,4.04,6.28,15.44,20.57,13.25,27.67,12.65,7860000000.0,7860000000.0,18.93,1.62,3.70,16.70,3.70,1090000000.0,16.70,328000000.0,1.92,39.20,23.60,682000000.0,4.05,295000000.0,1.80,8.11,7860000000.0,0.84,1.80,83.30,4770000.0,1.70,2.80,3430000.0,outperform
4,2013-05-09 06:27:21,1368073641.0,tdc,54.08,-7.57135532388,1626.670044,4.05826812508,-11.629623449,15.46,23.89,3.26,4.91,14.67,20.20,11.43,22.81,15.75,7800000000.0,7800000000.0,15.54,1.24,2.95,12.68,2.95,1490000000.0,12.68,387000000.0,2.26,35.20,4.20,853000000.0,5.16,271000000.0,1.93,10.60,626000000.0,0.78,0.36,87.00,4110000.0,1.60,2.50,4550000.0,underperform
5,2011-07-03 22:27:09,1309724829.0,tdc,60.91,4.10186292941,1320.640015,-15.5185077118,19.6203706412,23.55,34.61,5.05,7.97,14.85,21.01,13.44,27.29,12.01,9800000000.0,9800000000.0,23.98,2.08,4.87,21.69,4.87,1090000000.0,21.69,299000000.0,1.76,3.00,17.90,778000000.0,4.61,300000000.0,2.07,7.55,9800000000.0,0.82,1.80,83.30,3000000.0,1.70,1.80,3160000.0,outperform
6,2013-04-23 03:38:10,1366681090.0,tdc,49.85,-14.800888737,1578.780029,0.994738406949,-15.7956271439,15.40,20.43,3.13,4.69,15.72,21.91,12.85,25.60,15.84,7890000000.0,7890000000.0,14.28,1.20,2.96,11.92,2.96,1490000000.0,11.92,419000000.0,2.44,14.30,10.00,729000000.0,4.40,274000000.0,1.90,10.74,575000000.0,0.80,0.36,87.00,4550000.0,2.40,2.80,4480000.0,underperform
7,2012-09-12 01:44:21,1347407061.0,tdc,75.14,28.4224918817,1436.560059,-8.10308928441,36.5255811661,16.25,33.40,4.93,7.25,15.20,21.70,12.88,25.03,15.20,12040000000.0,12040000000.0,23.55,1.74,4.72,18.94,4.72,1290000000.0,18.94,388000000.0,2.25,8.70,14.50,821000000.0,4.87,282000000.0,2.00,10.30,572000000.0,0.74,1.76,87.70,3350000.0,2.10,2.00,2900000.0,outperform
8,2013-04-22 02:54:05,1366592045.0,nwsa,31.21,0.0,1562.5,0.0,0.0,55.50,18.71,2.06,2.52,11.65,16.54,5.79,14.60,14.32,81220000000.0,81220000000.0,15.92,1.15,2.37,11.84,2.37,33710000000.0,11.84,4000000000.0,1.67,125.30,5.00,7810000000.0,3.36,16460000000.0,1.92,12.07,4160000000.0,1.18,0.01,92.90,37400000.0,2.80,2.40,37230000.0,underperform
9,2011-05-29 05:10:20,1306638620.0,nwsa,17.98,-42.3902595322,1325.689941,-15.155843776,-27.2344157562,52.99,16.05,1.42,1.63,9.00,15.53,5.47,11.20,12.41,50930000000.0,50930000000.0,13.42,1.24,1.57,8.23,1.57,32780000000.0,8.23,2930000000.0,1.12,23.80,6.00,11780000000.0,4.49,15490000000.0,2.30,10.82,50930000000.0,1.66,0.74,84.90,17630000.0,1.30,1.00,20720000.0,underperform
